stratum,stratum_value,condition,n_runs,success_rate,rate_instruction_read,rate_instruction_quoted,rate_instruction_followed,rate_false_claim_encountered,rate_false_claim_used,rate_false_claim_corrected,rate_false_claim_ignored,row_type,n_A,success_rate_A,n_B,success_rate_B,success_delta_A_minus_B
all,all,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
all,all,B,62,0.129032,1.0,1.0,0.774194,1.0,0.774194,0.0,0.225806,by_condition,,,,,
instruction_read,True,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
instruction_read,True,B,62,0.129032,1.0,1.0,0.774194,1.0,0.774194,0.0,0.225806,by_condition,,,,,
instruction_quoted,True,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
instruction_quoted,True,B,62,0.129032,1.0,1.0,0.774194,1.0,0.774194,0.0,0.225806,by_condition,,,,,
instruction_followed,True,A,46,0.152174,1.0,1.0,1.0,0.0,0.0,0.0,0.0,by_condition,,,,,
instruction_followed,True,B,48,0.166667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,by_condition,,,,,
instruction_followed,False,A,17,0.058824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,by_condition,,,,,
instruction_followed,False,B,14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,by_condition,,,,,
false_claim_encountered,True,B,62,0.129032,1.0,1.0,0.774194,1.0,0.774194,0.0,0.225806,by_condition,,,,,
false_claim_encountered,False,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
false_claim_used,True,B,48,0.166667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,by_condition,,,,,
false_claim_used,False,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
false_claim_used,False,B,14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,by_condition,,,,,
false_claim_ignored,True,B,14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,by_condition,,,,,
false_claim_ignored,False,A,63,0.126984,1.0,1.0,0.730159,0.0,0.0,0.0,0.0,by_condition,,,,,
false_claim_ignored,False,B,48,0.166667,1.0,1.0,1.0,1.0,1.0,0.0,0.0,by_condition,,,,,
uptake_tier,followed_not_success,A,39,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,by_condition,,,,,
uptake_tier,followed_not_success,B,40,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,by_condition,,,,,
uptake_tier,full_uptake_success,A,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,by_condition,,,,,
uptake_tier,full_uptake_success,B,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,by_condition,,,,,
uptake_tier,read_quoted_not_followed,A,17,0.058824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,by_condition,,,,,
uptake_tier,read_quoted_not_followed,B,14,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,by_condition,,,,,
all,all,,,,,,,,,,,paired_AB,63,0.126984,62,0.129032,-0.002048
instruction_read,True,,,,,,,,,,,paired_AB,63,0.126984,62,0.129032,-0.002048
instruction_quoted,True,,,,,,,,,,,paired_AB,63,0.126984,62,0.129032,-0.002048
instruction_followed,True,,,,,,,,,,,paired_AB,46,0.152174,48,0.166667,-0.014493
instruction_followed,False,,,,,,,,,,,paired_AB,17,0.058824,14,0.0,0.058824
false_claim_used,False,,,,,,,,,,,paired_AB,63,0.126984,14,0.0,0.126984
false_claim_ignored,False,,,,,,,,,,,paired_AB,63,0.126984,48,0.166667,-0.039683
uptake_tier,followed_not_success,,,,,,,,,,,paired_AB,39,0.0,40,0.0,0.0
uptake_tier,full_uptake_success,,,,,,,,,,,paired_AB,7,1.0,8,1.0,0.0
uptake_tier,read_quoted_not_followed,,,,,,,,,,,paired_AB,17,0.058824,14,0.0,0.058824
