metric,value
instruction_files,2009
total_observations,339646
references_per_file_median,14.0
references_per_file_mean,163.014
verified_ratio,0.111
missing_ratio,0.3637
repaired_ratio,0.0003
unverifiable_ratio,0.5188
deleted_ratio,0.0062
first_failure_count,18473
repair_event_count,107
reference_additions,67898
reference_removals,12151
files_with_decay,1650
files_with_repair,54
median_time_to_first_missing_days,16.0
median_repair_latency_days,12.2
state_DELETED,2090
state_MISSING,123521
state_REPAIRED,107
state_UNVERIFIABLE,176219
state_VERIFIED,37709
